Field;Tag;Name;Format;;0100;0100;0110;;0400;0410;Format;0306;0146;0506;0604;0360;0804;Format;from;to;Template;Tag;;Description;Origin;Method
72;DF23;Paramètres accepteur / Type de site;;;;;;;;;ans...8;;;;;DF23;;;;;;;;;;
72;DF24;Paramètres d'appel / Fonctionnement;;;;;;;;;an10;;;;;DF24;;;;;;;;;;
72;DF26;Paramètres risque acquéreur / Montant minimum accepté;;;;;;;;;an12;;;;;DF26;;;;;;;;;;
72;DF27;Paramètres risque acquéreur / Montant maximum accepté;;;;;;;;;an12;;;;;DF27;;;;;;;;;;
72;DF28;Paramètres risque acquéreur / Montant utilisé de double authentification porteur;;;;;;;;;an12;;;;;DF28;;;;;;;;;;
72;DF2A;Paramètres risque acquéreur / Valeur du service commercial ;;;;;;;;;an12;;;;;DF2A;;;;;;;;;;
72;DF2B;Paramètres risque acquéreur / Montant d'autorisation;;;;;;;;;an12;;;;;DF2B;;;;;;;;;;
72;DF2C;PTE 1 / Elément de contrôle d'accès au système acquéreur de téléchargement;;;;;;;;;ans...30;;;;;DF2C;;;;;;;;;;
72;DF2D;PTE 1 / Référence du logiciel à télécharge;;;;;;;;;ans...30;;;;;DF2D;;;;;;;;;;
72;DF2F;Paramètres liste clés publiques d'authentification EMV / Modulo clé RSA;;;;;;;;;b...256;;;;;DF2F;;;;;;;;;;
72;DF3A;Paramètres risque acquéreur / Montant maximum accepté pour une carte étrangère sur un automate;;;;;;;;;an12;;;;;DF3A;;;;;;;;;;
72;DF41;Paramètres de télécommunication acquéreur;;;;;;;;;s22...123;;;;;DF41;;;;;;;;;;
72;DF43;Paramètres d'appel télécommunication;;;;;;;;;s16;;;;;DF43;;;;;;;;;;
72;DF44;Paramètres de téléchargement enveloppe 2 ;;;;;;;;;s29;;;;;DF44;;;;;;;;;;
72;DF45;Identifiant pseudo-session étendu de l'accepteur de carte ;;;;;;;;;anscb...40;;;;;DF45;;;;;;;;;;
72;DF46;Données appel récurrent;;;;;;;;;ans10;;;;;DF46;;;;;;;;;;
72;DF47;Activations techniques ;;;;;;;;;b1...3;;;;;DF47;;;;;;;;;;
72;DF48;Libellé du réseau d'acceptation .;;;;;;;;;ans24;;;;;DF48;;;;;;;;;;
72;DF49;Produits carte désactivés;;;;;;;;;b7...20;;;;;DF49;;;;;;;;;;
72;DF87;Paramètres identifiants spécifiques au paiement sans contact;;;;;;;;;s8...19;;;;;DF87;;;;;;;;;;
72;DF88;Paramètres montants spécifiques au paiement sans contact;;;;;;;;;s27,33;;;;;DF88;;;;;;;;;;
72;DF89;Paramètres données complémentaires au paiement sans contact;;;;;;;;;s3;;;;;DF89;;;;;;;;;;
72;DF8A;Liste des TAC pour le paiement sans contact .;;;;;;;;;s15;;;;;DF8A;;;;;;;;;;
72;DF8B;Paramètres Dynamic Reader Limits pour le paiement sans contact;;;;;;;;;s26;;;;;DF8B;;;;;;;;;;
72;DF90;Activation fonctions ;;;;;;;;;b2;;;;;DF90;;;;;;;;;;
74;;Nombre de transactions de crédit;;;;;;;;;n10;;;74;;;;;;;;;;;;
76;;Nombre de transactions de débit;;;;;;;;;n10;;;76;;;;;;;;;;;;
77;;Nombre de transactions de débit annulées ;;;;;;;;;n10;;;77;;;;;;;;;;;;
86;;Montant total des transactions de crédit ;;;;;;;;;n16;;;86;;;;;;;;;;;;
88;;Montant total des transactions de débit ;;;;;;;;;n16;;;88;;;;;;;;;;;;
89;;Montant total des transactions de débit annulées;;;;;;;;;n16;;;89;;;;;;;;;;;;
90;;Elements de donnees originaux ;n42;;;;;90;XS;FQ;;;;;;;;;;;;;;;;
95;;Montant de remplacement;an42;;;;;95;XS;FQ;;;;;;;;;;;;;;;;
112;;Données transferts de fonds;LLLVAR ans...255;112;C(2);C(2);;112;C(2);;;;;;;;;;;;;;;;;
112;01;Données d'origine de la transaction;ans2...99;01;C(94);C(94);;01;C(94);;;;;;;;;;;;;;;;;
112;03;Identifiant du type d'application à l'origine de la transaction de transfert de fonds ;an2;03;C(94);C(94);;03;C(94);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
